Snake,County,Latitude,Longitude,Species_Genotype,PC1,PC2,,,
CRF3617,Siskiyou,41.23005,-122.38249,atratus_WT,-1.010687849,-0.329483813,,,
CRF3359,Del_Norte,41.821616,-124.104118,atratus_WT,-1.972769276,-0.239511853,,,
CRF3614,Shasta,41.15706,-122.09245,atratus_WT,-0.858423002,-0.346481917,,,
CRF3611,Siskiyou,41.25039,-121.94444,atratus_WT,-0.828774049,-0.364529841,,,
CRF3620,Siskiyou,41.23005,-122.38249,atratus_WT,-1.010701081,-0.328180147,,,
CRF3619,Siskiyou,41.23005,-122.38249,atratus_WT,-1.010701994,-0.328090238,,,
CRF3607,Siskiyou,41.25039,-121.94444,atratus_WT,-0.828786141,-0.36333856,,,
CRF3615,Shasta,41.15706,-122.09245,atratus_WT,-0.858440342,-0.344773664,,,
CRF3622,Siskiyou,41.23005,-122.38249,atratus_WT,-1.010706329,-0.327663175,,,
CRF3609,Siskiyou,41.25039,-121.94444,atratus_WT,-0.828788879,-0.363068835,,,
CRF3610,Siskiyou,41.25039,-121.94444,atratus_WT,-0.828788879,-0.363068835,,,
CRF3618,Siskiyou,41.23005,-122.38249,atratus_WT,-1.010707698,-0.327528313,,,
CRF3621,Siskiyou,41.23005,-122.38249,atratus_WT,-1.01070861,-0.327438405,,,
CRF3043,Siskiyou,41.23005,-122.38249,atratus_WT,-1.010708838,-0.327415928,,,
CRF2441A,Captive_Birth,39.815603,-123.07225,atratus_WT,-0.788551894,-0.159579235,,,
CRF2436A,Captive_Birth,39.820297,-123.080799,atratus_WT,-0.793989308,-0.157912937,,,
CRF2448,Mendocino,39.89663889,-122.9875,atratus_WT,-0.782084162,-0.137029562,,,
CRF2413,Napa,38.764993,-122.301092,atratus_WT,-0.069943855,-0.000811113,,,
CRF3059,Lassen,40.36777,-120.80296,couchii_T,-0.010406845,-0.390522963,,,
CRF3324,Plumas,39.70167,-120.6637,couchii_T,0.294900253,-0.350163427,,,
CRF3312,Sierra,39.61058,-120.654868,couchii_T,0.332229038,-0.343171494,,,
EJE171,Nevada,39.442981,-120.658114,couchii_T,0.3924964,-0.330256543,,,
CRF3058,Lassen,40.36777,-120.80296,couchii_T,-0.010459547,-0.385330772,,,
EJE143,Nevada,39.456236,-120.606861,couchii_T,0.409752388,-0.332547813,,,
CRF3309,Mono,38.3663,-119.48172,couchii_T,1.297315924,-0.33920102,,,
CRF3060,Lassen,40.36777,-120.80296,couchii_T,-0.010476201,-0.38368995,,,
EJE174,Nevada,39.52261,-120.51649,couchii_T,0.424394295,-0.343679626,,,
